Rank,Company,Symbol,Weight,Price,Chg,% Chg
203,IQVIA Holdings Inc,IQV,0.097253,141.28,-1.4,-0.98
204,HCA Healthcare Inc,HCA,0.096711,96.83,0.11,0.11
205,Public Service Enterprise Group Inc,PEG,0.096195,51.81,1.22,2.41
206,Johnson Controls International plc,JCI,0.095738,34.00,0.13,0.38
207,PPG Industries Inc.,PPG,0.095577,109.38,2.34,2.19
208,Aflac Incorporated,AFL,0.095044,34.90,0.03,0.09
209,Schlumberger NV,SLB,0.093065,17.40,-0.39,-2.19
210,Zimmer Biomet Holdings Inc.,ZBH,0.09282,121.00,1.57,1.31
211,Fastenal Company,FAST,0.092753,43.75,0.72,1.67
212,HP Inc.,HPQ,0.092317,17.08,0.09,0.53
213,Prudential Financial Inc.,PRU,0.092105,61.00,0.46,0.76
214,Rockwell Automation Inc.,ROK,0.092031,211.80,0.9,0.43
215,Xilinx Inc.,XLNX,0.091608,97.91,-1.23,-1.24
216,Alexion Pharmaceuticals Inc.,ALXN,0.091199,107.03,-1.79,-1.64
217,Consolidated Edison Inc.,ED,0.091122,71.86,-0.62,-0.86
218,American Water Works Company Inc.,AWK,0.090823,132.97,-0.42,-0.31
219,Marriott International Inc. Class A,MAR,0.090715,87.33,-1.18,-1.33
220,Ford Motor Company,F,0.08999,6.10,0.0,0.0
221,Ball Corporation,BLL,0.08974,71.63,-0.77,-1.06
222,Marathon Petroleum Corporation,MPC,0.088823,35.30,-0.9,-2.49
223,Paychex Inc.,PAYX,0.08826,72.15,-1.15,-1.57
224,McKesson Corporation,MCK,0.087345,144.98,1.96,1.37
225,Otis Worldwide Corporation,OTIS,0.087295,56.68,-0.3,-0.53
226,McCormick & Company Incorporated,MKC,0.085754,182.50,-3.41,-1.83
227,State Street Corporation,STT,0.085753,64.59,0.47,0.73
228,Parker-Hannifin Corporation,PH,0.085091,176.00,0.6,0.34
229,Williams Companies Inc.,WMB,0.084501,18.56,0.01,0.05
230,FirstEnergy Corp.,FE,0.084349,40.84,-0.43,-1.04
231,Cintas Corporation,CTAS,0.083821,264.00,-2.88,-1.08
232,Valero Energy Corporation,VLO,0.083211,52.62,-1.03,-1.92
233,Trane Technologies plc,TT,0.083184,92.09,0.45,0.49
234,Motorola Solutions Inc.,MSI,0.083158,131.06,2.64,2.06
235,Skyworks Solutions Inc.,SWKS,0.083157,129.60,-1.62,-1.23
236,Archer-Daniels-Midland Company,ADM,0.082796,39.76,0.38,0.96
237,Dollar Tree Inc.,DLTR,0.082274,92.30,0.43,0.47
238,VeriSign Inc.,VRSN,0.082201,201.00,-8.99,-4.28
239,Stanley Black & Decker Inc.,SWK,0.081945,142.04,2.12,1.52
240,Cerner Corporation,CERN,0.080876,69.39,-0.54,-0.77
241,FLEETCOR Technologies Inc.,FLT,0.080555,248.30,-4.71,-1.86
242,AvalonBay Communities Inc.,AVB,0.080538,152.14,-0.6,-0.39
243,Hilton Worldwide Holdings Inc,HLT,0.080189,73.56,-1.68,-2.23
244,Welltower Inc.,WELL,0.080189,49.50,-1.05,-2.08
245,Edison International,EIX,0.079461,55.98,0.65,1.17
246,TransDigm Group Incorporated,TDG,0.079071,414.37,-6.51,-1.55
247,DTE Energy Company,DTE,0.078001,108.51,1.0,0.93
248,Corning Inc,GLW,0.077733,26.73,0.06,0.22
249,Alexandria Real Estate Equities Inc.,ARE,0.077112,160.84,0.03,0.02
250,Church & Dwight Co. Inc.,CHD,0.076589,82.12,-0.66,-0.8
251,Carrier Global Corp.,CARR,0.076581,24.23,-0.66,-2.65
252,MarketAxess Holdings Inc.,MKTX,0.07653,517.57,-19.66,-3.66
253,Kraft Heinz Company,KHC,0.075627,32.51,0.23,0.71
254,Mettler-Toledo International Inc.,MTD,0.075467,823.99,4.79,0.58
255,Corteva Inc,CTVA,0.075269,26.84,0.22,0.83
256,Fortive Corp.,FTV,0.075013,67.63,0.37,0.55
257,Equity Residential,EQR,0.074805,57.02,0.32,0.56
258,D.R. Horton Inc.,DHI,0.07457,56.90,-1.76,-3.0
259,AMETEK Inc.,AME,0.074435,88.47,1.57,1.81
260,Simon Property Group Inc.,SPG,0.074394,63.35,-0.63,-0.98
261,Fortinet Inc.,FTNT,0.074332,131.50,-14.3,-9.81
262,Align Technology Inc.,ALGN,0.074248,269.70,-3.59,-1.31
263,Equifax Inc.,EFX,0.074162,163.64,0.53,0.32
264,Realty Income Corporation,O,0.074022,56.82,-0.17,-0.3
265,Entergy Corporation,ETR,0.073849,95.50,-2.65,-2.7
266,V.F. Corporation,VFC,0.073593,60.05,-0.69,-1.14
267,Aptiv PLC,APTV,0.073565,76.68,0.4,0.52
268,PPL Corporation,PPL,0.073433,25.10,-0.15,-0.59
269,Best Buy Co. Inc.,BBY,0.073255,87.20,2.3,2.71
270,Hershey Company,HSY,0.07161,127.88,0.13,0.1
271,Arthur J. Gallagher & Co.,AJG,0.071433,98.22,-0.92,-0.93
272,Freeport-McMoRan Inc.,FCX,0.071153,13.01,0.04,0.31
273,Incyte Corporation,INCY,0.070021,100.56,-4.2,-4.01
274,Akamai Technologies Inc.,AKAM,0.069929,110.20,-4.06,-3.55
275,Lennar Corporation Class A,LEN,0.06924,62.38,-2.88,-4.41
276,Ameriprise Financial Inc.,AMP,0.069066,147.99,-0.59,-0.4
277,Keysight Technologies Inc,KEYS,0.069062,95.17,-2.47,-2.53
278,Ameren Corporation,AEE,0.068573,75.56,1.02,1.37
279,First Republic Bank,FRC,0.067155,107.00,1.52,1.44
280,Conagra Brands Inc.,CAG,0.06651,35.64,-0.67,-1.85
281,Weyerhaeuser Company,WY,0.066375,23.70,0.01,0.04
282,Citrix Systems Inc.,CTXS,0.066341,149.51,-2.77,-1.82
283,Southwest Airlines Co.,LUV,0.06628,32.50,-0.72,-2.17
284,Maxim Integrated Products Inc.,MXIM,0.065555,69.71,5.62,8.77
285,Tyson Foods Inc. Class A,TSN,0.065272,57.95,-0.57,-0.97
286,Republic Services Inc.,RSG,0.065105,81.73,-0.05,-0.06
287,Take-Two Interactive Software Inc.,TTWO,0.065081,147.00,-6.91,-4.49
288,West Pharmaceutical Services Inc.,WST,0.064942,229.04,-3.19,-1.37
289,Copart Inc.,CPRT,0.064423,81.49,-1.56,-1.88
290,Northern Trust Corporation,NTRS,0.0644,81.57,1.4,1.75
291,Old Dominion Freight Line Inc.,ODFL,0.063864,172.29,-4.59,-2.59
292,CMS Energy Corporation,CMS,0.063814,59.38,-0.09,-0.15
293,Laboratory Corporation of America Holdings,LH,0.063372,178.26,5.58,3.23
294,Kellogg Company,K,0.063252,66.95,-0.24,-0.36
295,LyondellBasell Industries NV,LYB,0.063107,65.30,0.26,0.4
296,Amcor PLC,AMCR,0.062859,10.42,-0.09,-0.86
297,CDW Corp.,CDW,0.061973,112.68,-1.16,-1.02
298,Tractor Supply Company,TSCO,0.061944,134.52,-3.9,-2.82
299,Teleflex Incorporated,TFX,0.061912,350.24,-4.54,-1.28
300,Vulcan Materials Company,VMC,0.059328,119.16,0.37,0.31
301,Delta Air Lines Inc.,DAL,0.058929,26.62,-0.47,-1.73
302,Quest Diagnostics Incorporated,DGX,0.058696,119.00,2.18,1.87
303,Las Vegas Sands Corp.,LVS,0.058529,48.40,2.68,5.86
304,Domino's Pizza Inc.,DPZ,0.058144,403.00,4.69,1.18
305,Pioneer Natural Resources Company,PXD,0.058017,90.01,-2.43,-2.63
306,Discover Financial Services,DFS,0.057478,48.04,-0.34,-0.7
307,Paycom Software Inc.,PAYC,0.057296,294.00,-15.0,-4.85
308,Hologic Inc.,HOLX,0.056588,57.55,-0.15,-0.25
309,Occidental Petroleum Corporation,OXY,0.056414,16.07,-0.64,-3.83
310,CBRE Group Inc. Class A,CBRE,0.05591,43.19,-1.01,-2.29
311,Essex Property Trust Inc.,ESS,0.055736,224.89,-0.44,-0.2
312,AmerisourceBergen Corporation,ABC,0.055274,97.27,0.22,0.23
313,CarMax Inc.,KMX,0.054889,88.69,0.5,0.57
314,Cardinal Health Inc.,CAH,0.054696,49.87,0.51,1.03
315,Healthpeak Properties Inc.,PEAK,0.054531,26.50,-0.16,-0.6
316,Broadridge Financial Solutions Inc.,BR,0.054515,125.12,-0.94,-0.75
317,Tyler Technologies Inc.,TYL,0.05435,344.97,-14.76,-4.1
318,Cooper Companies Inc.,COO,0.053657,285.64,-3.76,-1.3
319,Evergy Inc.,EVRG,0.053566,61.60,-0.38,-0.61
320,Nasdaq Inc.,NDAQ,0.053413,123.09,0.21,0.17
321,Zebra Technologies Corporation Class A,ZBRA,0.053332,255.31,-5.36,-2.06
322,Garmin Ltd.,GRMN,0.053095,96.49,-0.6,-0.62
323,Jack Henry & Associates Inc.,JKHY,0.052336,178.38,-3.15,-1.74
324,Dover Corporation,DOV,0.052294,96.51,1.36,1.43
325,Kansas City Southern,KSU,0.051899,147.93,4.19,2.91
326,W.W. Grainger Inc.,GWW,0.051417,319.53,8.51,2.74
327,International Paper Company,IP,0.051351,34.50,-0.04,-0.12
328,Hartford Financial Services Group Inc.,HIG,0.050988,37.60,0.19,0.51
329,Hormel Foods Corporation,HRL,0.050761,48.06,-0.14,-0.29
330,International Flavors & Fragrances Inc.,IFF,0.050626,124.52,-0.73,-0.58
331,M&T Bank Corporation,MTB,0.050209,101.64,1.27,1.27
332,Ventas Inc.,VTR,0.050087,35.10,-0.76,-2.12
333,Expeditors International of Washington Inc.,EXPD,0.049934,77.23,-0.35,-0.45
334,Masco Corporation,MAS,0.049911,49.95,0.15,0.3
335,Duke Realty Corporation,DRE,0.049887,35.31,-0.48,-1.34
336,Martin Marietta Materials Inc.,MLM,0.049505,210.41,0.26,0.12
337,Fifth Third Bancorp,FITB,0.04949,18.53,0.14,0.76
338,Qorvo Inc.,QRVO,0.0493,110.75,-1.26,-1.12
339,Tiffany & Co.,TIF,0.0492,121.17,-0.13,-0.11
340,FMC Corporation,FMC,0.049196,101.60,1.41,1.41
341,Mid-America Apartment Communities Inc.,MAA,0.048738,112.34,-1.26,-1.11
342,STERIS Plc,STE,0.048392,150.16,-0.35,-0.23
343,Boston Properties Inc.,BXP,0.047574,90.30,2.91,3.33
344,Extra Space Storage Inc.,EXR,0.047208,96.00,-0.25,-0.26
